	restaurantName	address	city	postalCode	country	priceRange	cuisineType	description	facilitiesServices	creditCards	phoneNumber	website	cleaned_description
0	La Trattoria Enrico Bartolini	Località Badiola	Castiglione della Pescaia	58043	Italy	€€€€	Mediterranean Cuisine, Grills	After a majestic picture-postcard approach via a long avenue lined with cypress trees and maritime pines, passing vineyards and Maremma cattle along the way, you finally arrive at this restaurant which serves trattoria-style cuisine full of intense, familiar and reassuring flavours. The decor here is elegant with the occasional rustic touch, while the service is of the highest level yet pleasantly friendly and informal. Welcome to Bartolini’s Maremma restaurant! Here, resident chef Bruno De Moura Cossio offers a choice of dishes with one common denominator, namely charcoal grilling. All the dishes served here have been grilled in some way, so that they have a distinctive barbecued flavour. However, although the chef’s Brazilian origins are obvious in many different ways, the ingredients are resolutely local, some even from the restaurant’s own farm. The friendly service makes guests feel completely at home, while the excellent wine selection is an added attraction – those produced on the estate itself are highly recommended.	['Air conditioning', 'Car park', 'Garden or park', 'Interesting wine list', 'Terrace']	['Amex', 'Mastercard', 'Visa']	+39 0564 944322	https://www.enricobartolini.net/ristorante-la-trattoria-castiglione	majest picturepostcard approach via long avenu line cypress tree maritim pine pass vineyard maremma cattl along way final arriv restaur serv trattoriastyl cuisin full intens familiar reassur flavour decor eleg occasion rustic touch servic highest level yet pleasantli friendli inform welcom bartolini ’ maremma restaur resid chef bruno de moura cossio offer choic dish one common denomin name charcoal grill dish serv grill way distinct barbecu flavour howev although chef ’ brazilian origin obviou mani differ way ingredi resolut local even restaur ’ farm friendli servic make guest feel complet home excel wine select ad attract – produc estat highli recommend
1	Donevandro	via Garibaldi 2	Popoli	65026	Italy	€€	Contemporary, Seasonal Cuisine	Up until a few years ago, the owner-chef at this restaurant was working as a painter – a fact that is evident from the artistic touch in his cuisine. His recipes are modern and personalised, with careful attention naturally paid to harmonious presentation, while the flavour of his dishes is brought out by ingredients that are skilfully chosen from the Abruzzo inland area. In 2024, the restaurant moved to new, centrally located premises which have an intimate feel and are elegant and minimalist in style.	['Air conditioning']	['Mastercard', 'Visa']	+39 388 887 6858	http://www.donevandroristorante.it	year ago ownerchef restaur work painter – fact evid artist touch cuisin recip modern personalis care attent natur paid harmoni present flavour dish brought ingredi skil chosen abruzzo inland area 2024 restaur move new central locat premis intim feel eleg minimalist style
2	O Me O Il Mare	Via Roma 45/47	Gragnano	80054	Italy	€€€€	Italian Contemporary, Modern Cuisine	Known around the world as the town of pasta, Gragnano is still home to small-scale pasta-makers renowned for their top-quality pasta. To reinforce this fact, this restaurant is housed in a building (dating back to 1695) once used as pasta factory. Now boasting a modern, spacious dining room with a vaulted ceiling and open-view kitchen, the restaurant serves three tasting menus, all with strong links to the region but also featuring more creative touches. The region also takes pride of place on the wine list – it’s worth asking the talented and experienced sommelier for her recommendations.	['Air conditioning', 'Interesting wine list', 'Wheelchair access']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 081 620 0550		known around world town pasta gragnano still home smallscal pastamak renown topqual pasta reinforc fact restaur hous build date back 1695 use pasta factori boast modern spaciou dine room vault ceil openview kitchen restaur serv three tast menu strong link region also featur creativ touch region also take pride place wine list – ’ worth ask talent experienc sommeli recommend
3	Sa Domu Sarda	via Sassari 51	Cagliari	09124	Italy	€€	Sardinian	Despite being an island, Sardinia’s traditional cuisine tends to focus on meat dishes, and you’ll find some of its best-known specialities served at this restaurant, with its simple dining rooms and typical local décor. Enjoy evocatively named dishes such as “sitzigorrus cun bagna” (snails in a tomato sauce), Bue Rosso “bombas” (meat balls), delicious Sardinian pastas such as “malloreddus”, “culurgiones” and “fregula”, stews, casseroles and meat fillets, as well as the famous “sebadas” and “su pappai biancu” (a type of blancmange) desserts.	['Air conditioning', 'Terrace']	['Amex', 'Mastercard', 'Visa']	+39 070 653400	https://www.osteriasadomusarda.it/	despit island sardinia ’ tradit cuisin tend focu meat dish ’ find bestknown special serv restaur simpl dine room typic local décor enjoy evoc name dish “ sitzigorru cun bagna ” snail tomato sauc bue rosso “ bomba ” meat ball delici sardinian pasta “ malloreddu ” “ culurgion ” “ fregula ” stew casserol meat fillet well famou “ sebada ” “ su pappai biancu ” type blancmang dessert
4	Ape Vino e Cucina	Piazza Risorgimento 3	Alba	12051	Italy	€€	Piedmontese, Contemporary	This attractive restaurant in the heart of Alba, the gastronomic capital of the Langhe, is home to chef Damiano Nigro who has previous experience in Michelin-starred restaurants in the area. The restaurant serves aperitif snacks, tapas and top-quality cocktails alongside its delicious, generously portioned meals which, as you might expect in Piedmont, have a traditional flavour. The pasta, bread, desserts and ice-cream are all homemade, while on our last visit in the summer we particularly enjoyed the maccheroncini with scampi and peppers, and the exquisite Fassona beef with a red-wine sauce and seasonal vegetables. Booked ahead is recommended.	['Air conditioning', 'Terrace', 'Wheelchair access']	['Amex', 'Dinersclub', 'Maestrocard', 'Mastercard', 'Visa']	+39 0173 363453	https://www.apewinebar.it/alba/	attract restaur heart alba gastronom capit langh home chef damiano nigro previou experi michelinstar restaur area restaur serv aperitif snack tapa topqual cocktail alongsid delici gener portion meal might expect piedmont tradit flavour pasta bread dessert icecream homemad last visit summer particularli enjoy maccheroncini scampi pepper exquisit fassona beef redwin sauc season veget book ahead recommend
5	DA_MÓ	Via Bruno Buozzi 20	Matera	75100	Italy	€€	Regional Cuisine, Contemporary	This new, restored restaurant in the upper part of the Sassi (yet still near the centre of Matera and its car parks) has a warm friendly ambience and boasts a small, charming outdoor space. Here, an entire family (father in the kitchen, mother and daughter front of house), who moved to Matera from Venosa (home of the Latin poet Horatio), serves regional cuisine with a contemporary twist and no little skill and professionalism. Various tasting menus are available, as well as an à la carte. An interesting wine list completes the picture.	['Air conditioning', 'Terrace']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 0835 686548	https://www.damoristorante.it/	new restor restaur upper part sassi yet still near centr matera car park warm friendli ambienc boast small charm outdoor space entir famili father kitchen mother daughter front hous move matera venosa home latin poet horatio serv region cuisin contemporari twist littl skill profession variou tast menu avail well à la cart interest wine list complet pictur
6	Soul & Fish	via Marina Grande	Sorrento	80067	Italy	€€€	Seafood	From the centre of Sorrento, you follow a succession of roads downhill to Marina Grande, the town’s old, picturesque fishing village that is well worth a visit. Here, facing the water, you’ll find Soul & Fish, a seemingly traditional seaside restaurant that actually serves superb fish and seafood on a menu that combines traditional dishes with more creative options.	['Terrace']	['Amex', 'Mastercard', 'Visa']	+39 081 878 2170	https://www.soulandfish.com/	centr sorrento follow success road downhil marina grand town ’ old picturesqu fish villag well worth visit face water ’ find soul fish seemingli tradit seasid restaur actual serv superb fish seafood menu combin tradit dish creativ option
7	Etra	piazza De Ferrari 4	Genoa	16121	Italy	€€€	Creative, Italian Contemporary	Etra is an anagram of the Italian word “arte” – an apt name for this restaurant, which is housed in Palazzo Doria De Fornari on the beautiful and famous Piazza Ferrari. This palazzo is one of Genova’s magnificent “Rolli” palazzi (noble palaces once used to house famous visitors to the city). Despite the setting, the dining room is modern in style and adorned with elegant works of contemporary art. Here, chef Davide Cannavino consolidates his reputation with a concise menu of creative dishes: around a dozen meat and fish options inspired by the beauty that surrounds him and showcased on two tasting menus from which individual dishes can be chosen à la carte style.	['Air conditioning']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 010 731 6733	https://www.etra.art/	etra anagram italian word “ art ” – apt name restaur hous palazzo doria de fornari beauti famou piazza ferrari palazzo one genova ’ magnific “ rolli ” palazzi nobl palac use hous famou visitor citi despit set dine room modern style adorn eleg work contemporari art chef david cannavino consolid reput concis menu creativ dish around dozen meat fish option inspir beauti surround showcas two tast menu individu dish chosen à la cart style
8	LoRo	via Bruse 2	Trescore Balneario	24069	Italy	€€€	Creative	The cuisine served at LoRo is imaginative both in its presentation and its ingredients, which are combined in light, original and healthy (in the best sense of the word) dishes. The focus here is on fish and seafood, especially in the antipasti and primi courses, while all the dishes are listed with imaginative names on the menu. Chef Pierantonio Rocchetti reinterprets classic Italian favourites with flair and imagination, serving generous portions that do not skimp on flavour and taking guests on a delicious culinary journey that culminates in his excellent desserts. The restaurant’s “Sala Lab” is home to a large designer-style table that can be transformed to accommodate different numbers of guests, allowing the chef to prepare his dishes directly at the table in an ambience which is friendly and convivial while still maintaining an elegant feel.	['Air conditioning', 'Car park']	['Amex', 'Maestrocard', 'Mastercard', 'Visa']	+39 347 761 4728	http://www.loroandco.com	cuisin serv loro imagin present ingredi combin light origin healthi best sens word dish focu fish seafood especi antipasti primi cours dish list imagin name menu chef pierantonio rocchetti reinterpret classic italian favourit flair imagin serv gener portion skimp flavour take guest delici culinari journey culmin excel dessert restaur ’ “ sala lab ” home larg designerstyl tabl transform accommod differ number guest allow chef prepar dish directli tabl ambienc friendli convivi still maintain eleg feel
9	Palazzo Utini	via Antonio Gramsci 6	Noceto	43015	Italy	€€€€	Creative, Contemporary	This historic building in the town centre has been brought back to life by the family of local entrepreneurs who bought it years ago and who have given the restaurant their name. Now an exclusive food venue just a stone’s throw from the capital of the “Food Valley” region, Palazzo Utini is home to a bar and bistro on its ground floor, while the first floor is occupied by the gourmet restaurant overseen by chef Enrico Bartolini and run by resident chef Roberto Monopoli who has plenty of culinary experience behind him. Guests can choose individual dishes from the tasting menus à la carte style, plus there’s an extensive wine list. We particularly enjoyed the exquisite turbot saltimbocca and the onion, black cherry and Lambrusco dessert. On the upper floors, elegant and intimate guestrooms are decorated in the same reassuring style as the rest of the building.	['Air conditioning', 'Interesting wine list', 'Wheelchair access']	['Amex', 'Dinersclub', 'Mastercard', 'Visa']	+39 0521 152 1001		histor build town centr brought back life famili local entrepreneur bought year ago given restaur name exclus food venu stone ’ throw capit “ food valley ” region palazzo utini home bar bistro ground floor first floor occupi gourmet restaur overseen chef enrico bartolini run resid chef roberto monopoli plenti culinari experi behind guest choos individu dish tast menu à la cart style plu ’ extens wine list particularli enjoy exquisit turbot saltimbocca onion black cherri lambrusco dessert upper floor eleg intim guestroom decor reassur style rest build
